Company Name,Industry,Symbol,Series
21ST CENTURY MANAGEMENT SERVICES LIMITED,,21STCENMGM,EQ
A C S TECHNOLOGIES LIMITED,,ACSTECH,EQ
ANSAL PROPERTIES & INFRASTRUCTURE LIMITED,,ANSALAPI,BZ
BLUE CHIP INDIA LIMITED,,BLUECHIP,BE
BOHRA INDUSTRIES LIMITED,,BOHRAIND,BE
CAPITAL TRUST LIMITED,,CAPTRUST,BE
DCM FINANCIAL SERVICES LIMITED,,DCMFINSERV,BE
EXCELLENT WIRES AND PACKAGING LIMITED,,EXCELLENT,ST
FUTURE ENTERPRISES LIMITED,,FEL,BZ
GUJARAT LEASE FINANCING LIMITED,,GLFL,BE
GVK POWER & INFRASTRUCTURE LIMITED,,GVKPIL,BE
INNOVATIVE TYRES & TUBES LIMITED,,ITTL,ST
JITF INFRALOGISTICS LIMITED,,JITFINFRA,BE
KALANA ISPAT LIMITED,,KALANA,ST
KODY TECHNOLAB LIMITED,,KODYTECH,ST
LLOYDS LUXURIES LIMITED,,LLOYDS,ST
MANGALAM DRUGS AND ORGANICS LIMITED,,MANGALAM,BE
MADHAV COPPER LIMITED,,MCL,BE
MEP INFRASTRUCTURE DEVELOPERS LIMITED,,MEP,BZ
POLYSIL IRRIGATION SYSTEMS LIMITED,,POLYSIL,ST
RAJ RAYON INDUSTRIES LIMITED,,RAJRILTD,BE
S&S POWER SWITCHGEARS LIMITED,,S&SPOWER,BE
SADBHAV ENGINEERING LIMITED,,SADBHAV,BE
SANWARIA CONSUMER LIMITED,,SANWARIA,BZ
SEYA INDUSTRIES LIMITED,,SEYAIND,BE
SITI NETWORKS LIMITED,,SITINET,BZ
SURANI STEEL TUBES LIMITED,,SURANI,ST
TEERTH GOPICON LIMITED,,TGL,ST
TIJARIA POLYPIPES LIMITED,,TIJARIA,BE
USHANTI COLOUR CHEM LIMITED,,UCL,ST
VISAMAN GLOBAL SALES LIMITED,,VISAMAN,ST
WINSOME YARNS LIMITED,,WINSOME,BZ
A2Z INFRA ENGINEERING LIMITED,,A2ZINFRA,BE
AAKAAR MEDICAL TECHNOLOGIES LIMITED,,AAKAAR,ST
AAKASH EXPLORATION SERVICES LIMITED,,AAKASH,BE
AAREY DRUGS & PHARMACEUTICALS LIMITED,,AAREYDRUGS,BE
ABAN OFFSHORE LIMITED,,ABAN,BE
ALLIED BLENDERS AND DISTILLERS LIMITED,,ABDL,EQ
ABM INTERNATIONAL LIMITED,,ABMINTLLTD,BE
ADITYA BIRLA SUN LIFE CRISIL LIQUID OVERNIGHT ETF,,ABSLLIQUID,EQ
ACCORD SYNERGY LIMITED,,ACCORD,ST
ACCRETION PHARMACEUTICALS LIMITED,,ACCPL,SM
ACCURACY SHIPPING LIMITED,,ACCURACY,BE
